City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,manokwari,-0.8667,134.0833,299.23,79,98,2.25,ID,1720733522
334,araripina,-7.5761,-40.4983,295.08,35,69,2.82,BR,1720733524
335,quzhou,28.9594,118.8686,299.62,88,100,1.56,CN,1720733525
336,ha'il,27.5219,41.6907,309.16,9,0,1.03,SA,1720733526
337,kattivakkam,13.2167,80.3167,302.2,95,100,6.24,IN,1720733527
338,inarajan village,13.2736,144.7484,302.23,89,65,5.3,GU,1720733529
339,nova vicosa,-17.8919,-39.3719,296.98,80,1,4.55,BR,1720733530
340,valparaiso,-33.0393,-71.6273,287.28,57,0,2.57,CL,1720733531
341,argo,37.6333,22.7333,302.47,33,1,2.01,GR,1720733532
342,hithadhoo,-0.6,73.0833,301.21,77,10,3.09,MV,1720733534
343,port-gentil,-0.7193,8.7815,296.69,85,100,4.58,GA,1720733535
344,madang,-5.2246,145.7966,298.57,88,100,2.42,PG,1720733536
345,oppdal,62.5943,9.6912,285.74,97,99,1.77,NO,1720733537
346,riosucio,5.4216,-75.7032,295.98,92,77,1.22,CO,1720733539
347,ixtapa-zihuatanejo,17.6333,-101.55,301.2,83,100,1.54,MX,1720733540
348,boa vista,2.8197,-60.6733,299.14,83,75,1.03,BR,1720733541
349,tsirang,27.0219,90.1229,294.46,99,100,0.61,BT,1720733542
350,santa ana de yacuma,-13.75,-65.4333,299.12,53,40,4.12,BO,1720733544
351,guingamp,48.4167,-3.3333,286.11,95,99,1.92,FR,1720733545
352,rosarito,32.3333,-117.0333,303.72,71,41,4.15,MX,1720733546
353,tura,25.5198,90.2201,297.47,100,100,1.64,IN,1720733547
354,kaspiyskiy,45.3929,47.3707,300.83,37,88,1.57,RU,1720733549
355,lerwick,60.1545,-1.1494,284.15,86,92,5.08,GB,1720733550
356,arfoud,31.4348,-4.2375,308.62,8,2,3.76,MA,1720733551
357,quinte west,44.1834,-77.5662,297.26,77,75,0.0,CA,1720733341
358,sao gabriel da cachoeira,-0.1303,-67.0892,304.04,66,40,2.57,BR,1720733553
359,kashmar,35.2383,58.4656,300.47,19,9,1.92,IR,1720733555
360,laguna,38.421,-121.4238,318.45,18,0,2.57,US,1720733556
361,keflavik,64.0049,-22.5624,285.1,100,100,9.77,IS,1720733557
362,piti village,13.4626,144.6933,302.18,90,20,2.57,GU,1720733558
